Mechanism,Short Name,Species,Reactions,Stoichiometric Invariants,Largest Merged Group,# Merged Groups,Coproduction Index,Kinetic Invariants,Broken Null Cycles,References and Source Notes
Caltech Isoprene Mechanism Full v5,CIM,386,886,0,15,195,650,150,500,"(Wennberg et al., 2018) downloaded from (Bates & Wennberg, 2017)"
"Caltech Isoprene Mechanism, Variable Oxidants",CIM-var,394,886,2,8,284,474,17,457,"(Wennberg et al., 2018) downloaded from (Bates & Wennberg, 2017)"
Jülich Atmospheric Mechanism JAM002b,JAM,245,702,4,4,41,53,0,53,"(Schultz et al., 2018) downloaded in the supplement of (Sander et al., 2019)4/21/26 4:05:00 PM"
GEOS-Chem v12.0.0,GCv12.0,235,725,6,6,101,136,1,135,Standard mechanism downloaded from https://doi.org/10.5281/zenodo.1343547
GEOS-Chem v12.7.0,GCv12.7,243,750,6,6,108,143,1,142,Standard mechanism downloaded from https://doi.org/10.5281/zenodo.3634864
GEOS-Chem v12.8.0,GCv12.8,258,825,6,6,138,190,1,189,Standard mechanism downloaded from https://doi.org/10.5281/zenodo.3784796
GEOS-Chem v12.9.0,GCv12.9,262,850,8,6,138,188,2,186,Standard mechanism downloaded from https://doi.org/10.5281/zenodo.3950327. Ablation study with no P/L species showed the mechanism still has 2 kinetic invariants
GEOS-Chem v13.3.0,GCv13.3,287,903,10,6,140,185,2,183,Fullchem mechanism downloaded from https://doi.org/10.5281/zenodo.7254231
GEOS-Chem v13.4.0,GCv13.4,287,913,10,6,138,181,0,181,Fullchem mechanism downloaded from https://doi.org/10.5281/zenodo.7254268
GEOS-Chem v14.6.3,GCv14.6,353,1058,9,5,123,168,0,168,Fullchem mechanism downloaded from https://doi.org/10.5281/zenodo.16538682
CRI v2.2,CRI,442,1258,2,6,179,216,0,216,"(Jenkin et al., 2008, 2019; Watson et al., 2008) downloaded from https://www.mcm.york.ac.uk/CRI last access November 6, 2025."
CAABA /MECCA v4.6.0,MECCA,733,2323,9,8,361,456,0,456,"Downloaded as gas.kpp mechanism in the supplement of (Sander et al., 2019)"
MCM v3.3.1,MCM,5832,16698,1,7,2617,3558,0,3558,"(Bloss et al., 2005; Jenkin et al., 1997, 2012, 2015; Saunders et al., 2003) downloaded from https://www.mcm.york.ac.uk/MCM/ last access November 6, 2025."
MCM with PRAM,MCM-PRAM,6041,18478,1,7,2654,3671,3,3668,"MCM v3.3.1 as above, paired with PRAM downloaded in KPP format (Roldin, 2019; Roldin et al., 2019)"
